transaction_id,sender_account,receiver_account,amount,transaction_type,transaction_channel,transaction_location,transaction_hour,transaction_frequency,average_transaction_amount,account_age_days,previous_transaction_count,previous_suspicious_count,receiver_count,international_transaction,cash_transaction,balance_before,balance_after,label
TXN100013,AC10000459,AC10000459,3500.05,Online Payment,Online,Chennai,0,6,27522.65,1672,34,0,8,0,0,99745.04,96244.99,0
TXN100014,AC10000088,AC10000108,9577.79,Cash Withdrawal,Branch,Chennai,23,4,5941.94,1026,52,1,10,0,1,278377.87,268800.08,0
TXN100015,AC10000373,AC10000156,3948.99,Online Payment,Mobile Banking,Ahmedabad,9,6,10148.7,1496,46,0,5,1,0,347707.0,343758.01,0
TXN100016,AC10000100,AC10000082,5109.14,Cash Withdrawal,Branch,Nagpur,2,6,9910.87,2560,31,0,14,0,1,331065.83,325956.69,0
TXN100017,AC10000360,AC10000077,7861.9,Transfer,Online,Bengaluru,5,3,16620.19,2680,34,0,5,1,0,322646.4,314784.5,0
TXN100018,AC10000152,AC10000485,5692.79,Online Payment,Mobile Banking,Jaipur,15,3,20217.44,3432,34,1,2,0,0,82798.46,77105.67,0
TXN100019,AC10000131,AC10000470,18452.33,Transfer,ATM,Kolkata,19,3,25341.63,2279,46,0,5,0,0,21700.55,3248.22,0
TXN100020,AC10000150,AC10000460,12031.68,Transfer,ATM,Chennai,5,5,12662.34,2737,40,0,9,0,0,79936.4,67904.72,0
TXN100021,AC10000309,AC10000258,2785.23,Transfer,Branch,Mumbai,11,4,6100.78,126,36,1,6,0,0,271843.31,269058.08,0
TXN100022,AC10000258,AC10000127,7316.69,Transfer,Branch,Pune,2,3,9529.74,916,40,1,14,0,0,287045.33,279728.64,0
TXN100023,AC10000344,AC10000485,3642.58,Cash Deposit,ATM,Hyderabad,22,6,6033.67,1749,32,0,4,0,1,337043.46,333400.88,0
TXN100024,AC10000492,AC10000391,7622.24,Cash Withdrawal,Mobile Banking,Delhi,17,3,7702.41,47,38,0,9,0,1,228702.19,221079.95,0
TXN100025,AC10000414,AC10000282,9122.15,Online Payment,Branch,Mumbai,20,5,19024.32,1005,30,1,1,0,0,475765.91,466643.76,0
TXN100026,AC10000294,AC10000474,7116.3,Transfer,Mobile Banking,Delhi,2,7,4721.47,2782,37,0,12,0,0,215226.03,208109.73,0
TXN100027,AC10000386,AC10000088,5967.04,Online Payment,ATM,Ahmedabad,4,4,8377.87,3436,28,1,13,0,0,257327.26,251360.22,0
TXN100028,AC10000192,AC10000204,12355.01,Online Payment,Online,Nagpur,18,5,21411.39,2003,44,1,1,0,0,287546.74,275191.73,0
TXN100029,AC10000444,AC10000016,2230.05,Transfer,ATM,Chennai,23,3,18724.96,1314,41,0,7,0,0,329289.31,327059.26,0
TXN100030,AC10000277,AC10000151,14033.19,Transfer,Online,Nagpur,17,5,7123.47,2348,44,0,11,0,0,14533.19,500.0,0
TXN100031,AC10000161,AC10000424,3010.33,Online Payment,Online,Delhi,7,2,6686.0,1651,41,0,14,0,0,268448.61,265438.28,0
TXN100032,AC10000460,AC10000254,10557.46,Cash Deposit,Mobile Banking,Jaipur,23,2,33412.66,707,43,0,6,0,1,401952.44,391394.98,0
TXN100033,AC10000314,AC10000188,10880.71,Cash Withdrawal,Branch,Ahmedabad,9,3,15310.2,3146,39,0,14,0,1,148275.76,137395.05,0
TXN100034,AC10000022,AC10000329,5407.89,Cash Withdrawal,Online,Pune,18,6,7074.72,2550,38,0,8,0,1,177629.8,172221.91,0
TXN100035,AC10000253,AC10000032,12050.3,Cash Deposit,ATM,Nagpur,9,2,11683.79,602,38,1,4,0,1,251803.22,239752.92,0
TXN100036,AC10000236,AC10000271,4570.36,Transfer,Online,Kolkata,20,4,24315.63,510,53,0,13,0,0,178062.84,173492.48,0
TXN100037,AC10000345,AC10000485,3150.23,Cash Deposit,Mobile Banking,Bengaluru,1,3,6711.22,2009,45,0,4,0,1,91928.72,88778.49,0
TXN100038,AC10000049,AC10000397,2854.44,Transfer,Online,Chennai,9,6,6620.98,3608,40,0,13,0,0,315907.45,313053.01,0
TXN100039,AC10000475,AC10000005,22764.39,Cash Deposit,Branch,Bengaluru,21,5,13850.27,1628,37,0,12,0,1,477499.27,454734.88,0
TXN100040,AC10000059,AC10000459,11909.51,Online Payment,Branch,Nagpur,17,4,4982.5,2777,44,2,10,0,0,202937.89,191028.38,0
TXN100041,AC10000170,AC10000330,15876.41,Cash Deposit,ATM,Bengaluru,3,7,7746.88,807,37,2,7,0,1,244132.03,228255.62,1
TXN100042,AC10000476,AC10000308,26361.46,Online Payment,Online,Jaipur,2,4,9044.36,1355,35,0,12,0,0,43175.25,16813.79,0
TXN100043,AC10000188,AC10000333,2655.21,Cash Deposit,ATM,Chennai,16,5,2133.78,2017,37,2,4,0,1,190549.08,187893.87,0
TXN100044,AC10000464,AC10000169,4468.83,Cash Withdrawal,Mobile Banking,Ahmedabad,23,4,12666.24,3602,37,0,11,0,1,253301.99,248833.16,0
TXN100045,AC10000271,AC10000181,14072.38,Cash Withdrawal,Mobile Banking,Pune,23,4,17868.78,2704,40,1,4,0,1,115267.99,101195.61,0
TXN100046,AC10000190,AC10000366,14009.22,Online Payment,Branch,Pune,16,2,42630.29,291,47,0,1,0,0,487761.99,473752.77,0
TXN100047,AC10000446,AC10000178,16831.64,Cash Withdrawal,Branch,Ahmedabad,21,3,17686.02,1510,44,0,14,0,1,18615.71,1784.07,0
TXN100048,AC10000175,AC10000143,3352.33,Transfer,Online,Kolkata,11,6,6159.22,2377,39,0,6,0,0,433568.23,430215.9,0
TXN100049,AC10000446,AC10000362,9541.05,Online Payment,Online,Hyderabad,16,3,8945.96,363,43,0,5,0,0,298545.88,289004.83,0
TXN100050,AC10000051,AC10000248,5823.01,Cash Withdrawal,Mobile Banking,Delhi,12,6,40232.47,920,32,0,3,0,1,190431.31,184608.3,0
TXN100051,AC10000364,AC10000127,23303.75,Transfer,Mobile Banking,Chennai,8,7,16117.89,2713,30,1,10,0,0,170933.46,147629.71,0
TXN100052,AC10000055,AC10000263,28507.63,Cash Withdrawal,Branch,Mumbai,0,4,23717.01,2425,34,0,11,1,1,29007.63,500.0,0
TXN100053,AC10000244,AC10000040,13903.96,Online Payment,Branch,Kolkata,14,3,8266.51,1554,28,1,6,0,0,105108.91,91204.95,0
TXN100054,AC10000320,AC10000412,12015.95,Cash Deposit,ATM,Jaipur,18,3,10427.23,3439,51,0,9,0,1,241630.57,229614.62,0
TXN100055,AC10000131,AC10000416,3707.02,Transfer,Online,Hyderabad,8,4,11473.84,3388,42,0,13,0,0,424699.41,420992.39,0
TXN100056,AC10000485,AC10000355,3964.64,Online Payment,Branch,Hyderabad,16,5,21826.66,1344,48,0,3,0,0,401586.04,397621.4,0
TXN100057,AC10000307,AC10000255,21196.55,Cash Withdrawal,Mobile Banking,Kolkata,14,2,9082.96,1088,45,1,5,0,1,282542.26,261345.71,0
TXN100058,AC10000135,AC10000143,13407.51,Cash Deposit,ATM,Hyderabad,1,5,17755.0,3585,37,1,4,0,1,142531.9,129124.39,0
TXN100059,AC10000021,AC10000240,5231.6,Transfer,Online,Nagpur,3,3,11994.63,2992,47,0,2,0,0,195323.94,190092.34,0
TXN100060,AC10000329,AC10000228,15625.57,Transfer,Online,Pune,6,4,5454.13,1598,40,1,2,0,0,16125.57,500.0,0
TXN100061,AC10000167,AC10000341,2187.55,Cash Withdrawal,Online,Mumbai,7,1,11977.56,2812,37,1,3,0,1,385532.25,383344.7,0
TXN100062,AC10000274,AC10000198,6314.02,Online Payment,ATM,Chennai,0,4,24597.83,246,39,0,11,0,0,437130.02,430816.0,0
TXN100063,AC10000388,AC10000065,11681.34,Transfer,Mobile Banking,Jaipur,0,6,12047.69,3084,35,0,1,0,0,88214.71,76533.37,0
TXN100064,AC10000089,AC10000388,37221.47,Transfer,Mobile Banking,Pune,4,3,9691.89,537,38,0,9,0,0,414921.54,377700.07,0
TXN100065,AC10000316,AC10000011,10569.74,Transfer,Mobile Banking,Nagpur,7,7,30275.04,2972,42,0,2,0,0,346185.28,335615.54,0
TXN100066,AC10000014,AC10000108,21762.89,Cash Withdrawal,Branch,Pune,0,4,15461.23,2264,39,0,13,0,1,471856.99,450094.1,0
TXN100067,AC10000242,AC10000026,5813.17,Transfer,ATM,Hyderabad,2,1,4888.33,1675,40,1,3,0,0,122696.6,116883.43,0
TXN100068,AC10000265,AC10000445,4661.15,Transfer,Mobile Banking,Chennai,21,3,9945.8,797,43,1,3,0,0,373290.06,368628.91,0
TXN100069,AC10000346,AC10000421,4211.37,Transfer,ATM,Bengaluru,16,2,14282.22,1636,50,2,7,0,0,296790.32,292578.95,0
TXN100070,AC10000053,AC10000151,30271.72,Cash Deposit,Mobile Banking,Jaipur,2,9,13983.45,2529,36,0,12,0,1,484540.86,454269.14,0
TXN100071,AC10000386,AC10000221,10515.52,Transfer,Mobile Banking,Mumbai,0,5,16727.13,1046,36,0,5,0,0,347822.22,337306.7,0
TXN100072,AC10000340,AC10000341,5401.77,Transfer,Online,Chennai,3,4,10805.36,3208,49,0,3,0,0,241832.53,236430.76,0
TXN100073,AC10000092,AC10000496,4168.73,Online Payment,ATM,Chennai,8,5,10456.08,1695,39,0,3,0,0,346884.41,342715.68,0
TXN100074,AC10000367,AC10000237,14508.99,Transfer,ATM,Ahmedabad,12,4,12110.33,2585,45,1,6,0,0,498491.32,483982.33,0
TXN100075,AC10000444,AC10000237,2027.77,Transfer,Online,Hyderabad,4,5,20112.08,2230,37,1,13,0,0,397782.39,395754.62,0
TXN100076,AC10000455,AC10000497,1280.91,Online Payment,ATM,Jaipur,13,6,7690.94,3007,36,1,11,0,0,471726.51,470445.6,0
TXN100077,AC10000428,AC10000219,17046.33,Transfer,Mobile Banking,Jaipur,18,6,11450.89,3332,40,0,5,1,0,481861.09,464814.76,0
TXN100078,AC10000264,AC10000487,11567.6,Cash Deposit,Mobile Banking,Delhi,22,3,14098.5,3601,40,1,14,0,1,404236.73,392669.13,0
TXN100079,AC10000431,AC10000424,13111.07,Transfer,Online,Hyderabad,13,3,8458.03,2060,38,0,9,1,0,111224.98,98113.91,0
TXN100080,AC10000035,AC10000461,82390.07,Cash Withdrawal,ATM,Kolkata,21,5,16207.33,1410,41,1,13,0,1,405802.67,323412.6,0
TXN100081,AC10000206,AC10000151,14609.22,Transfer,Branch,Delhi,3,5,15054.84,1234,58,2,4,0,0,44920.91,30311.69,0
TXN100082,AC10000081,AC10000123,20610.37,Online Payment,ATM,Kolkata,3,7,3127.26,2102,52,0,10,0,0,195118.16,174507.79,0
TXN100083,AC10000420,AC10000144,2477.39,Transfer,ATM,Jaipur,8,6,12267.44,1818,29,0,13,0,0,489101.82,486624.43,0
TXN100084,AC10000050,AC10000478,14203.17,Transfer,Branch,Ahmedabad,1,3,30148.18,691,41,0,12,0,0,257114.13,242910.96,0
TXN100085,AC10000360,AC10000189,3125.69,Cash Withdrawal,ATM,Nagpur,9,6,31740.65,2958,34,0,12,0,1,267622.51,264496.82,0
TXN100086,AC10000388,AC10000255,10785.55,Online Payment,Online,Jaipur,17,3,18699.87,3522,34,1,7,0,0,365096.19,354310.64,0
TXN100087,AC10000002,AC10000068,2981.64,Transfer,ATM,Pune,6,6,27396.44,1182,38,1,6,0,0,152431.53,149449.89,0
TXN100088,AC10000390,AC10000104,21251.52,Online Payment,ATM,Ahmedabad,20,7,10864.08,189,38,0,3,0,0,27215.3,5963.78,0
TXN100089,AC10000054,AC10000336,19551.03,Transfer,Online,Jaipur,13,5,17376.27,3085,40,1,12,0,0,109009.99,89458.96,0
TXN100090,AC10000106,AC10000159,4160.88,Cash Deposit,Online,Nagpur,20,4,13348.39,492,32,0,8,0,1,393979.07,389818.19,0
TXN100091,AC10000260,AC10000309,8431.4,Transfer,ATM,Delhi,14,5,18533.11,3405,34,0,12,1,0,185761.7,177330.3,0
TXN100092,AC10000310,AC10000362,2466.89,Cash Deposit,Mobile Banking,Nagpur,9,3,39807.02,747,52,1,1,0,1,66834.19,64367.3,0
TXN100093,AC10000477,AC10000409,5292.81,Transfer,Branch,Bengaluru,4,5,23021.16,3492,46,1,10,0,0,318712.07,313419.26,0
TXN100094,AC10000191,AC10000300,8385.43,Transfer,Branch,Mumbai,7,3,9605.1,352,29,1,7,0,0,262788.19,254402.76,0
TXN100095,AC10000402,AC10000396,21126.37,Transfer,ATM,Mumbai,21,3,33519.6,95,43,0,9,0,0,226546.74,205420.37,0
TXN100096,AC10000218,AC10000090,21588.9,Transfer,Online,Nagpur,20,6,14098.69,1812,44,1,7,0,0,119576.23,97987.33,0
TXN100097,AC10000044,AC10000357,5460.97,Online Payment,Online,Chennai,4,3,18331.0,1238,44,0,10,1,0,374846.31,369385.34,0
TXN100098,AC10000162,AC10000256,40171.99,Online Payment,Mobile Banking,Mumbai,4,6,10292.91,3474,44,2,1,0,0,281700.33,241528.34,0
TXN100099,AC10000202,AC10000496,7397.47,Cash Withdrawal,ATM,Hyderabad,13,5,19379.16,2369,46,0,10,0,1,491660.89,484263.42,0
TXN100100,AC10000446,AC10000353,15993.65,Transfer,ATM,Chennai,0,2,15552.82,1658,35,0,14,0,0,431997.0,416003.35,0
TXN100101,AC10000484,AC10000220,7005.55,Transfer,Online,Jaipur,4,3,25040.82,1127,45,0,14,1,0,122687.17,115681.62,0
TXN100102,AC10000270,AC10000009,50826.11,Cash Withdrawal,Mobile Banking,Chennai,18,10,8656.99,1322,43,1,1,0,1,268411.56,217585.45,0
TXN100103,AC10000351,AC10000012,12598.98,Online Payment,Mobile Banking,Pune,21,5,22260.51,1540,42,0,13,0,0,266933.23,254334.25,0
TXN100104,AC10000304,AC10000325,4564.87,Cash Deposit,Online,Mumbai,11,6,2458.97,3345,49,1,10,0,1,77919.35,73354.48,0
TXN100105,AC10000271,AC10000438,5521.11,Online Payment,Branch,Chennai,14,4,8041.0,1174,48,1,6,1,0,407096.14,401575.03,0
TXN100106,AC10000456,AC10000244,14848.21,Online Payment,Online,Kolkata,2,4,5005.02,368,38,1,13,0,0,171351.79,156503.58,0
TXN100107,AC10000462,AC10000182,5941.97,Online Payment,ATM,Hyderabad,0,5,14942.71,457,40,0,7,0,0,75096.82,69154.85,0
TXN100108,AC10000215,AC10000284,9008.27,Transfer,Online,Chennai,23,4,22416.45,3163,42,1,11,0,0,124582.36,115574.09,0
TXN100109,AC10000252,AC10000312,1484.16,Transfer,Online,Nagpur,11,3,11928.59,2017,39,1,6,0,0,486345.61,484861.45,0
TXN100110,AC10000190,AC10000099,1312.6,Cash Deposit,Online,Ahmedabad,12,5,28966.06,716,34,0,12,0,1,283997.18,282684.58,0
TXN100111,AC10000296,AC10000197,12162.39,Cash Deposit,Mobile Banking,Mumbai,13,3,7254.21,2235,35,0,7,0,1,15290.05,3127.66,0
TXN100112,AC10000213,AC10000482,9898.23,Transfer,Mobile Banking,Ahmedabad,9,9,4825.76,3302,45,1,14,0,0,266049.44,256151.21,0
TXN100113,AC10000208,AC10000366,22827.61,Transfer,Online,Delhi,19,2,19200.78,1039,46,1,11,0,0,489045.88,466218.27,0
TXN100114,AC10000237,AC10000226,16748.22,Cash Withdrawal,ATM,Delhi,13,5,25679.35,1216,40,0,8,0,1,50214.37,33466.15,0
TXN100115,AC10000338,AC10000333,32499.46,Cash Deposit,Online,Ahmedabad,13,6,12851.32,3408,37,0,13,0,1,193128.42,160628.96,0
TXN100116,AC10000367,AC10000103,8778.67,Transfer,Online,Delhi,12,2,39225.82,1618,43,0,12,0,0,202580.57,193801.9,0
TXN100117,AC10000053,AC10000106,13650.81,Cash Deposit,Mobile Banking,Ahmedabad,20,2,16699.15,3586,45,0,6,0,1,79787.6,66136.79,0
TXN100118,AC10000280,AC10000365,5756.53,Cash Withdrawal,Online,Hyderabad,2,4,15539.77,935,42,2,10,0,1,216205.4,210448.87,0
TXN100119,AC10000410,AC10000368,6797.23,Cash Withdrawal,Branch,Jaipur,23,3,9072.05,3016,30,2,3,0,1,58723.78,51926.55,0
TXN100120,AC10000217,AC10000058,5500.82,Transfer,ATM,Jaipur,18,5,5144.04,2948,37,0,3,0,0,348950.09,343449.27,0
TXN100121,AC10000252,AC10000078,7774.61,Cash Withdrawal,Online,Ahmedabad,19,5,10090.01,798,50,1,13,0,1,464425.66,456651.05,0
TXN100122,AC10000188,AC10000075,3829.95,Cash Deposit,ATM,Jaipur,9,1,33531.67,1311,42,0,13,0,1,209592.57,205762.62,0
TXN100123,AC10000380,AC10000042,8914.78,Transfer,Mobile Banking,Kolkata,11,3,13585.49,642,40,0,5,0,0,487704.21,478789.43,0
TXN100124,AC10000493,AC10000422,14803.9,Cash Withdrawal,Mobile Banking,Ahmedabad,22,6,9305.56,674,42,2,4,0,1,280426.13,265622.23,0
TXN100125,AC10000041,AC10000324,4555.42,Transfer,Online,Chennai,1,5,6663.59,2749,44,1,7,0,0,21969.33,17413.91,0
TXN100126,AC10000157,AC10000181,10704.86,Transfer,Mobile Banking,Jaipur,0,3,17032.49,3466,38,0,12,0,0,87541.78,76836.92,0
TXN100127,AC10000015,AC10000033,5327.16,Transfer,Mobile Banking,Delhi,3,3,5775.69,1404,33,0,12,0,0,55414.59,50087.43,0
TXN100128,AC10000301,AC10000071,6338.44,Transfer,Online,Bengaluru,7,4,15133.87,2884,36,0,7,0,0,354145.32,347806.88,0
TXN100129,AC10000065,AC10000056,9324.21,Transfer,Online,Delhi,16,3,8891.85,1721,41,0,7,0,0,366986.1,357661.89,0
TXN100130,AC10000345,AC10000105,4910.01,Online Payment,Online,Chennai,13,4,10129.75,356,39,1,9,0,0,202261.64,197351.63,0
TXN100131,AC10000327,AC10000200,22132.72,Transfer,Online,Bengaluru,13,4,18215.71,80,46,0,2,0,0,416008.72,393876.0,0
TXN100132,AC10000009,AC10000101,1059.58,Online Payment,Branch,Mumbai,18,3,6471.78,145,38,0,6,0,0,439329.49,438269.91,0
TXN100133,AC10000344,AC10000256,3556.74,Cash Deposit,Online,Pune,3,5,12051.09,3487,35,0,4,0,1,134594.66,131037.92,0
TXN100134,AC10000129,AC10000307,5287.28,Transfer,Online,Hyderabad,19,1,4446.98,2825,32,0,11,0,0,426689.3,421402.02,0
TXN100135,AC10000492,AC10000074,20923.52,Transfer,Online,Pune,15,4,11149.78,360,46,1,10,0,0,403507.35,382583.83,0
TXN100136,AC10000136,AC10000171,10168.22,Cash Deposit,ATM,Chennai,18,3,16575.91,2893,42,0,6,0,1,207592.39,197424.17,0
TXN100137,AC10000472,AC10000377,5112.5,Cash Deposit,ATM,Bengaluru,18,2,20071.8,2063,52,0,3,0,1,188973.7,183861.2,0
TXN100138,AC10000063,AC10000143,7555.44,Transfer,Branch,Nagpur,12,7,25082.6,2288,40,0,2,0,0,488708.9,481153.46,0
TXN100139,AC10000139,AC10000166,15491.27,Transfer,Online,Chennai,6,4,18411.57,56,41,0,14,0,0,209160.81,193669.54,0
TXN100140,AC10000499,AC10000399,2455.09,Cash Withdrawal,ATM,Nagpur,23,3,9211.88,717,35,0,4,0,1,152666.61,150211.52,0
TXN100141,AC10000081,AC10000261,2568.77,Transfer,Online,Mumbai,13,3,3699.36,1885,47,0,7,0,0,305253.27,302684.5,0
TXN100142,AC10000392,AC10000221,16363.05,Online Payment,Mobile Banking,Chennai,9,2,22847.32,3060,32,0,6,1,0,437977.48,421614.43,0
TXN100143,AC10000163,AC10000083,13258.28,Cash Withdrawal,ATM,Ahmedabad,13,3,8532.8,1020,41,1,14,0,1,313311.46,300053.18,0
TXN100144,AC10000419,AC10000182,4853.01,Transfer,Online,Nagpur,19,4,4686.12,541,52,0,4,0,0,444686.35,439833.34,0
TXN100145,AC10000289,AC10000307,3079.56,Transfer,Online,Ahmedabad,10,4,40504.87,1486,42,0,1,0,0,401747.48,398667.92,0
TXN100146,AC10000379,AC10000010,18635.7,Transfer,Online,Mumbai,10,5,11536.86,318,36,0,13,0,0,445572.49,426936.79,0
TXN100147,AC10000261,AC10000396,3999.24,Online Payment,Online,Kolkata,14,3,16489.75,1076,36,0,4,0,0,390267.98,386268.74,0
TXN100148,AC10000490,AC10000004,3604.86,Transfer,Branch,Nagpur,7,2,13917.99,2938,35,1,11,0,0,302801.8,299196.94,0
TXN100149,AC10000231,AC10000351,2674.89,Transfer,Mobile Banking,Nagpur,23,1,11888.1,645,35,1,3,0,0,33194.24,30519.35,0
TXN100150,AC10000041,AC10000402,9547.17,Cash Deposit,Online,Pune,21,5,9331.01,3067,41,1,13,0,1,183261.21,173714.04,0
TXN100151,AC10000028,AC10000336,12463.9,Transfer,ATM,Chennai,16,4,8210.75,2715,28,2,13,0,0,29775.91,17312.01,0
TXN100152,AC10000135,AC10000488,1987.97,Cash Deposit,Branch,Chennai,22,3,50982.11,2521,44,0,3,1,1,460641.6,458653.63,0
TXN100153,AC10000201,AC10000292,7565.64,Online Payment,ATM,Hyderabad,22,2,4652.8,1454,45,1,4,1,0,472975.46,465409.82,0
TXN100154,AC10000328,AC10000281,3222.43,Cash Deposit,Online,Nagpur,20,3,9056.02,2207,40,0,5,0,1,80881.63,77659.2,0
TXN100155,AC10000268,AC10000215,5764.69,Online Payment,Online,Jaipur,5,5,6727.66,2372,40,1,14,0,0,313771.89,308007.2,0
TXN100156,AC10000418,AC10000460,10102.28,Online Payment,Mobile Banking,Nagpur,13,2,16801.72,2347,33,0,12,0,0,413595.09,403492.81,0
TXN100157,AC10000033,AC10000098,8253.73,Transfer,Mobile Banking,Ahmedabad,8,7,9168.93,1901,44,1,9,0,0,44325.02,36071.29,0
TXN100158,AC10000048,AC10000420,36205.78,Transfer,Online,Chennai,2,3,8676.13,3078,45,0,11,0,0,484301.28,448095.5,0
TXN100159,AC10000407,AC10000101,1844.57,Transfer,Online,Pune,11,7,18211.6,2933,51,0,11,0,0,307176.19,305331.62,0
TXN100160,AC10000062,AC10000451,10114.61,Cash Deposit,Mobile Banking,Pune,3,6,42213.32,3169,35,0,11,0,1,185801.73,175687.12,0
TXN100161,AC10000216,AC10000009,87911.28,Transfer,ATM,Jaipur,14,7,6994.6,3602,36,1,9,0,0,283393.8,195482.52,0
TXN100162,AC10000293,AC10000061,3176.43,Online Payment,Mobile Banking,Pune,12,3,4377.77,570,50,0,8,0,0,284868.27,281691.84,0
TXN100163,AC10000099,AC10000309,2830.55,Cash Deposit,Online,Kolkata,17,6,12497.84,907,36,1,11,0,1,63074.15,60243.6,0
TXN100164,AC10000172,AC10000146,4241.03,Transfer,Mobile Banking,Chennai,13,5,20683.88,3575,32,0,1,0,0,287152.92,282911.89,0
TXN100165,AC10000360,AC10000427,10455.19,Cash Deposit,Mobile Banking,Delhi,12,4,10432.88,1584,45,0,3,0,1,337028.16,326572.97,0
TXN100166,AC10000214,AC10000419,1426.94,Transfer,Online,Hyderabad,8,2,18106.74,175,38,0,9,0,0,118731.91,117304.97,0
TXN100167,AC10000475,AC10000063,2148.57,Online Payment,ATM,Bengaluru,4,2,8402.59,3065,56,0,14,0,0,19349.34,17200.77,0
TXN100168,AC10000035,AC10000121,1229.25,Cash Deposit,Online,Jaipur,18,3,56805.08,2809,32,1,9,0,1,256494.12,255264.87,0
TXN100169,AC10000449,AC10000226,9133.9,Transfer,ATM,Nagpur,7,3,17888.93,2236,34,0,6,0,0,46569.32,37435.42,0
TXN100170,AC10000227,AC10000105,9351.06,Transfer,Branch,Mumbai,12,4,8758.31,425,37,0,11,0,0,134829.02,125477.96,0
TXN100171,AC10000101,AC10000462,29611.21,Online Payment,Online,Nagpur,8,5,7360.23,754,34,0,8,1,0,246286.82,216675.61,0
TXN100172,AC10000431,AC10000260,2194.25,Cash Deposit,Branch,Pune,16,3,14305.59,1889,43,1,6,0,1,28755.44,26561.19,0
TXN100173,AC10000462,AC10000349,6150.76,Online Payment,Online,Pune,4,2,18594.69,3508,52,1,9,0,0,458384.1,452233.34,0
TXN100174,AC10000131,AC10000425,12082.26,Transfer,Branch,Jaipur,8,4,5129.11,3287,30,1,6,0,0,184556.29,172474.03,0
TXN100175,AC10000257,AC10000255,11291.59,Transfer,ATM,Mumbai,10,2,12087.05,1962,40,2,10,0,0,231167.33,219875.74,0
TXN100176,AC10000005,AC10000429,10098.15,Transfer,Mobile Banking,Delhi,1,6,19448.48,2199,35,0,14,0,0,281657.62,271559.47,0
TXN100177,AC10000218,AC10000434,3046.71,Cash Deposit,Online,Mumbai,12,3,14907.24,174,33,1,7,0,1,258582.63,255535.92,0
TXN100178,AC10000255,AC10000207,11832.85,Transfer,ATM,Mumbai,0,3,18001.48,2099,50,0,9,0,0,110801.58,98968.73,0
TXN100179,AC10000398,AC10000028,23535.42,Transfer,ATM,Mumbai,7,3,31626.73,870,41,0,1,0,0,77686.47,54151.05,0
TXN100180,AC10000359,AC10000170,1115.0,Cash Deposit,ATM,Bengaluru,14,2,1590.11,803,47,0,4,0,1,93174.71,92059.71,0
TXN100181,AC10000283,AC10000336,4514.92,Cash Deposit,ATM,Pune,21,5,13830.46,1638,49,0,10,1,1,188387.58,183872.66,0
TXN100182,AC10000393,AC10000076,9254.21,Transfer,ATM,Nagpur,1,4,2602.56,863,43,2,12,0,0,357605.48,348351.27,1
TXN100183,AC10000207,AC10000116,4615.29,Cash Deposit,Mobile Banking,Delhi,2,5,11653.61,2648,42,0,13,0,1,334199.58,329584.29,0
TXN100184,AC10000015,AC10000069,10995.08,Cash Withdrawal,Online,Mumbai,20,8,27919.36,347,44,1,6,0,1,305539.73,294544.65,0
TXN100185,AC10000346,AC10000354,16092.25,Transfer,Mobile Banking,Hyderabad,16,3,11037.75,3493,57,0,2,0,0,87154.71,71062.46,0
